subject,cond,age,gender,eth,inc,house,edu
501,7,31,f,White,9,2,4
502,0,28,m,White,2,1,4
503,1,26,m,Caucasion,0,2,1
504,2,63,m,caucasian,5,2,4
505,3,31,m,African American,3,1,4
506,4,57,m,white,2,1,3
507,5,18,m,Asian,5,4,2
508,6,26,m,white/ american,4,5,2
509,7,35,m,White,7,2,4
510,0,26,f,caucasian,3,2,4
511,1,23,f,WHITE,1,2,4
512,2,37,m,white,0,1,1
513,3,46,m,White,7,4,3
514,4,34,f,WBA,5,4,4
515,5,26,f,asian american,4,4,4
516,6,29,m,African American,4,3,4
517,7,46,f,white,5,2,3
518,0,25,f,White,5,3,4
520,2,30,f,white,2,5,2
521,3,25,m,WHITE,1,6,0
522,4,23,f,caucasian,2,5,1
523,5,32,m,black,3,26,1
524,6,42,f,white,4,3,3
525,7,35,f,american,2,3,4
526,0,39,m,Asian,6,3,1
527,1,58,f,white/Caucasian,0,1,6
528,2,38,f,White/European,7,4,4
529,3,40,m,white,6,3,4
530,4,21,m,white,4,3,2
531,5,29,m,hispanic,1,3,4
532,6,32,f,caucasian,8,2,6
534,0,28,m,white,2,1,4
535,1,49,f,Caucasian,8,4,3
536,2,20,m,ASIAN,0,4,2
537,3,29,m,White,2,1,2
538,4,50,f,white,8,5,6
539,5,42,m,white,0,1,4
540,6,66,f,Caucasion,7,1,6
541,7,22,f,white,10,3,4
542,0,19,m,White,0,1,2
543,1,35,f,white,4,4,5
544,2,26,f,White,8,2,5
545,3,47,f,white,3,1,1
546,4,28,m,white,3,1,2
547,5,30,m,White,5,1,4
548,6,45,f,Asian,4,4,4
549,7,19,f,White,11,6,2
550,0,27,f,white,2,2,1
551,1,22,f,White,0,1,2
552,2,25,m,White/Caucasian,10,5,2
553,3,22,f,White,4,4,3
554,4,35,m,white,2,3,2
555,5,24,m,white,1,1,4
556,6,40,f,caucasian,2,2,6
557,7,30,m,White,4,1,6
558,0,45,m,White,10,4,6
559,1,50,f,white,2,5,3
560,2,23,m,African-American,5,3,4
561,3,29,f,white,4,1,6
562,4,29,m,White,0,1,2
563,5,45,f,BLACK,7,4,4
564,6,30,m,white,10,1,6
565,7,27,m,asian,3,1,3
566,0,40,m,caucasion,11,1,4
567,1,24,m,white,0,2,2
568,2,25,f,white,2,2,2
569,3,24,m,caucasian,1,1,4
570,4,25,f,Native American,2,2,2
571,5,25,f,white,5,2,3
572,6,23,f,white/hispanic,9,3,6
573,7,21,m,white,0,1,1
576,2,32,f,asian,4,3,4
577,3,49,f,African American,5,4,2
578,4,26,m,white,6,2,4
579,5,33,m,white,10,5,6
580,6,21,f,White,1,4,2
581,7,25,f,Asian,2,1,4
582,0,55,f,white,11,4,4
583,1,25,f,white,3,2,2
584,2,24,f,White,0,1,2
585,3,43,f,white,1,2,3
586,4,27,f,White ,5,2,4
587,5,28,f,white,0,1,6
588,6,26,m,white,0,1,1
590,0,22,f,White,2,1,4
591,1,40,f,Caucasian,4,4,2
592,2,45,m,American,7,1,1
593,3,50,m,Caucasian,11,4,4
594,4,27,f,White,7,2,1
595,5,25,f,white,3,3,1
